espn_id,school,name,abbreviation,color,stadium,city,state,zip,grass,stadium_indoor,division
2006,Akron,Zips,AKR,00285e,InfoCision Stadium,Akron,OH,44304,False,False,Mid-American - East
2084,Buffalo,Bulls,BUFF,041A9B,UB Stadium,Buffalo,NY,14228,False,False,Mid-American - East
324,Coastal Carolina,Chanticleers,CCU,007073,Brooks Stadium (SC),Conway,SC,29526,False,False,Sun Belt - East
68,Boise State,Broncos,BOIS,0033a0,Albertsons Stadium,Boise,ID,83706,False,False,Mountain West
242,Rice,Owls,RICE,d1d5d8,Rice Stadium,Houston,TX,77005,False,False,American
58,South Florida,Bulls,USF,004A36,Raymond James Stadium,Tampa,FL,33607,True,False,American
2032,Arkansas State,Red Wolves,ARST,e81018,Centennial Bank Stadium,Jonesboro,AR,72401,False,False,Sun Belt - West
2440,Nevada,Wolf Pack,NEV,002d62,Mackay Stadium,Reno,NV,89557,False,False,Mountain West
57,Florida,Gators,FLA,0021a5,Ben Hill Griffin Stadium,Gainesville,FL,32611,True,False,SEC - East
2579,South Carolina,Gamecocks,SC,73000a,Williams-Brice Stadium,Columbia,SC,29201,True,False,SEC - East
167,New Mexico,Lobos,UNM,000000,University Stadium (NM),Albuquerque,NM,87106,False,False,Mountain West
328,Utah State,Aggies,USU,00263a,Maverik Stadium,Logan,UT,84341,False,False,Mountain West
278,Fresno State,Bulldogs,FRES,c41230,Valley Children's Stadium,Fresno,CA,93710,False,False,Mountain West
25,California,Golden Bears,CAL,031522,California Memorial Stadium,Berkeley,CA,94720,False,False,Pac-12
2309,Kent State,Golden Flashes,KENT,003976,Dix Stadium,Kent,OH,44242,False,False,Mid-American - East
2050,Ball State,Cardinals,BALL,DA0000,Scheumann Stadium,Muncie,IN,47304,False,False,Mid-American - West
2393,Middle Tennessee,Blue Raiders,MTSU,006db6,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,37130,False,False,Conference USA
158,Nebraska,Cornhuskers,NEB,d00000,"Memorial Stadium (Lincoln, NE)",Lincoln,NE,68508,False,False,Big Ten - West
24,Stanford,Cardinal,STAN,8c1515,Stanford Stadium,Stanford,CA,94305,True,False,Pac-12
326,Texas State,Bobcats,TXST,4e1719,Bobcat Stadium (TX),San Marcos,TX,78666,False,False,Sun Belt - West
193,Miami (OH),RedHawks,M-OH,a4000c,Yager Stadium,Oxford,OH,45056,False,False,Mid-American - East
2534,Sam Houston,Bearkats,SHSU,fe5000,Elliott T. Bowers Stadium,Huntsville,TX,77340,False,False,Conference USA
